Re,alpha,CL,CD,CM
20000,-20,-0.9417653169425018,0.25515504882879514,0.10747212434412486
20000,-19.5,-0.9243244525303707,0.24967945481776044,0.10331982421977406
20000,-19,-0.9068026628180474,0.244169028914944,0.09923160563593701
20000,-18.5,-0.8892189376987985,0.2386252581340931,0.09521018673225448
20000,-18,-0.8715950658892442,0.23304867297429516,0.09125573081183319
20000,-17.5,-0.8539576325167368,0.22743827816395962,0.08736590896360084
20000,-17,-0.8363400352682631,0.2217909715324599,0.08353618067516838
20000,-16.5,-0.8187839611473005,0.21610103524351293,0.07976028387861614
20000,-16,-0.8013397415407059,0.2103597760018727,0.07603087608376195
20000,-15.5,-0.7840653098785227,0.20455532435209725,0.0723402099166005
20000,-15,-0.7670241852483843,0.19867247397969687,0.06868068305303501
20000,-14.5,-0.7502838690867719,0.19269230083403316,0.06504511026532707
20000,-14,-0.7339169439759121,0.18659126135762716,0.06142666699009021
20000,-13.5,-0.7180074435137891,0.18033969904146346,0.057818695170594764
20000,-13,-0.702663606516432,0.17390044497870952,0.054214968527572786
20000,-12.5,-0.6880326810436447,0.16722985322528014,0.05061147016427493
20000,-12,-0.67430116729734,0.1602863223700619,0.04701064240883797
20000,-11.5,-0.6616480364204624,0.15305328750606217,0.043426890352096285
20000,-11,-0.650126712118042,0.145576978453158,0.0398863471035321
20000,-10.5,-0.639537436670186,0.13799204068726226,0.03640920717767644
20000,-10,-0.6294771178300524,0.13047820214981606,0.03297479709982334
20000,-9.5,-0.6196484285291,0.12313855870010891,0.029494654087776295
20000,-9,-0.6101006527521174,0.11591462368960895,0.02581226821920611
20000,-8.5,-0.6009926999255836,0.10863719844486504,0.021720768339379786
20000,-8,-0.5919587096619447,0.10112182898681163,0.016999083155369382
20000,-7.5,-0.581467897108271,0.0931771756525132,0.011485836413417903
20000,-7,-0.5667028417034975,0.08458850264690505,0.005224165937296039
20000,-6.5,-0.5449498828509437,0.07528070251620538,-0.0013867701841220258
20000,-6,-0.5157203242442528,0.06560666915201517,-0.008052993487900449
20000,-5.5,-0.47750198123320525,0.05637819040092926,-0.015461387907072178
20000,-5,-0.4260079865767329,0.04809489185738632,-0.021554683479522118
20000,-4.5,-0.370301912112318,0.04082297085727472,-0.02398629203158361
20000,-4,-0.31428220517901045,0.03581388288515499,-0.024307262848938995
20000,-3.5,-0.2588061118531227,0.03231768857336658,-0.02364701368716615
20000,-3,-0.2051393002639096,0.029699187407310867,-0.02318245442994808
20000,-2.5,-0.15456371801692573,0.02750638265700633,-0.02312639194281611
20000,-2,-0.1098526002272939,0.02441889707397077,-0.021703031490187145
20000,-1.5,-0.062250304315434296,0.021892659212652904,-0.020084176909335057
20000,-1,-0.006826136597114535,0.021413466404195985,-0.019849442499921485
20000,-0.5,0.04628643187632292,0.02149460672426814,-0.019219664643806263
20000,0,0.10070627605419724,0.02174860581522268,-0.01886116198861836
20000,0.5,0.15870548796533,0.022091314937977762,-0.01915326901376638
20000,1,0.21863108308651413,0.022531068939355157,-0.01971235764761915
20000,1.5,0.27772732104673087,0.023120283277533335,-0.01995024156619678
20000,2,0.3337610335417114,0.02389617418314337,-0.019390259453990175
20000,2.5,0.38656459965718626,0.024810907342495355,-0.018001009378006232
20000,3,0.4378157413209412,0.02578449597168134,-0.016322792106764097
20000,3.5,0.48831477347359714,0.0268573472097057,-0.014841030723856001
20000,4,0.5373781496536288,0.02827953394024229,-0.013622474899970965
20000,4.5,0.5838290106447999,0.030350734850031372,-0.012675709374208864
